# COMMENT
# # cutUV cutIR samples
# 20.000000 0.010000 512# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.031250 0.030000 1.000000 0.031250
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.328454 0.019311 0.000819 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 512 15.000000
# Spectral function (PDE)
# p rho
0.000000 -0.000000
0.029297 0.000195
0.058594 0.000392
0.087891 0.000593
0.117188 0.000798
0.146484 0.001010
0.175781 0.001232
0.205078 0.001465
0.234375 0.001711
0.263672 0.001975
0.292969 0.002258
0.322266 0.002566
0.351562 0.002902
0.380859 0.003272
0.410156 0.003683
0.439453 0.004143
0.468750 0.004662
0.498047 0.005253
0.527344 0.005933
0.556641 0.006721
0.585938 0.007646
0.615234 0.008743
0.644531 0.010061
0.673828 0.011666
0.703125 0.013653
0.732422 0.016154
0.761719 0.019369
0.791016 0.023594
0.820312 0.029292
0.849609 0.037204
0.878906 0.048538
0.908203 0.065318
0.937500 0.090949
0.966797 0.131047
0.996094 0.194187
1.025391 0.290776
1.054688 0.425813
1.083984 0.584014
1.113281 0.725246
1.142578 0.809797
1.171875 0.818150
1.201172 0.741871
1.230469 0.592627
1.259766 0.420914
1.289062 0.279477
1.318359 0.183668
1.347656 0.123795
1.376953 0.086695
1.406250 0.063090
1.435547 0.047489
1.464844 0.036783
1.494141 0.029190
1.523438 0.023653
1.552734 0.019516
1.582031 0.016358
1.611328 0.013901
1.640625 0.011954
1.669922 0.010388
1.699219 0.009109
1.728516 0.008051
1.757812 0.007166
1.787109 0.006417
1.816406 0.005779
1.845703 0.005230
1.875000 0.004754
1.904297 0.004339
1.933594 0.003974
1.962891 0.003653
1.992188 0.003368
2.021484 0.003114
2.050781 0.002887
2.080078 0.002682
2.109375 0.002498
2.138672 0.002331
2.167969 0.002180
2.197266 0.002042
2.226562 0.001916
2.255859 0.001800
2.285156 0.001694
2.314453 0.001597
2.343750 0.001508
2.373047 0.001426
2.402344 0.001351
2.431641 0.001281
2.460938 0.001217
2.490234 0.001157
2.519531 0.001101
2.548828 0.001049
2.578125 0.001001
2.607422 0.000955
2.636719 0.000913
2.666016 0.000873
2.695312 0.000836
2.724609 0.000801
2.753906 0.000768
2.783203 0.000738
2.812500 0.000709
2.841797 0.000682
2.871094 0.000656
2.900391 0.000633
2.929688 0.000610
2.958984 0.000590
2.988281 0.000571
3.017578 0.000553
3.046875 0.000537
3.076172 0.000522
3.105469 0.000509
3.134766 0.000498
3.164062 0.000488
3.193359 0.000481
3.222656 0.000475
3.251953 0.000471
3.281250 0.000468
3.310547 0.000467
3.339844 0.000466
3.369141 0.000465
3.398438 0.000462
3.427734 0.000457
3.457031 0.000449
3.486328 0.000438
3.515625 0.000422
3.544922 0.000404
3.574219 0.000384
3.603516 0.000363
3.632812 0.000342
3.662109 0.000322
3.691406 0.000304
3.720703 0.000287
3.750000 0.000272
3.779297 0.000259
3.808594 0.000248
3.837891 0.000237
3.867188 0.000228
3.896484 0.000220
3.925781 0.000212
3.955078 0.000205
3.984375 0.000199
4.013672 0.000193
4.042969 0.000187
4.072266 0.000182
4.101562 0.000177
4.130859 0.000172
4.160156 0.000167
4.189453 0.000163
4.218750 0.000158
4.248047 0.000154
4.277344 0.000150
4.306641 0.000147
4.335938 0.000143
4.365234 0.000140
4.394531 0.000136
4.423828 0.000133
4.453125 0.000130
4.482422 0.000127
4.511719 0.000124
4.541016 0.000121
4.570312 0.000118
4.599609 0.000116
4.628906 0.000113
4.658203 0.000111
4.687500 0.000108
4.716797 0.000106
4.746094 0.000104
4.775391 0.000102
4.804688 0.000100
4.833984 0.000098
4.863281 0.000096
4.892578 0.000094
4.921875 0.000092
4.951172 0.000090
4.980469 0.000088
5.009766 0.000086
5.039062 0.000085
5.068359 0.000083
5.097656 0.000082
5.126953 0.000080
5.156250 0.000079
5.185547 0.000077
5.214844 0.000076
5.244141 0.000074
5.273438 0.000073
5.302734 0.000072
5.332031 0.000070
5.361328 0.000069
5.390625 0.000068
5.419922 0.000067
5.449219 0.000065
5.478516 0.000064
5.507812 0.000063
5.537109 0.000062
5.566406 0.000061
5.595703 0.000060
5.625000 0.000059
5.654297 0.000058
5.683594 0.000057
5.712891 0.000056
5.742188 0.000055
5.771484 0.000054
5.800781 0.000054
5.830078 0.000053
5.859375 0.000052
5.888672 0.000051
5.917969 0.000050
5.947266 0.000049
5.976562 0.000049
6.005859 0.000048
6.035156 0.000047
6.064453 0.000046
6.093750 0.000046
6.123047 0.000045
6.152344 0.000044
6.181641 0.000044
6.210938 0.000043
6.240234 0.000042
6.269531 0.000042
6.298828 0.000041
6.328125 0.000041
6.357422 0.000040
6.386719 0.000039
6.416016 0.000039
6.445312 0.000038
6.474609 0.000038
6.503906 0.000037
6.533203 0.000037
6.562500 0.000036
6.591797 0.000036
6.621094 0.000035
6.650391 0.000035
6.679688 0.000034
6.708984 0.000034
6.738281 0.000033
6.767578 0.000033
6.796875 0.000032
6.826172 0.000032
6.855469 0.000032
6.884766 0.000031
6.914062 0.000031
6.943359 0.000030
6.972656 0.000030
7.001953 0.000029
7.031250 0.000029
7.060547 0.000029
7.089844 0.000028
7.119141 0.000028
7.148438 0.000028
7.177734 0.000027
7.207031 0.000027
7.236328 0.000027
7.265625 0.000026
7.294922 0.000026
7.324219 0.000026
7.353516 0.000025
7.382812 0.000025
7.412109 0.000025
7.441406 0.000024
7.470703 0.000024
7.500000 0.000024
7.529297 0.000024
7.558594 0.000023
7.587891 0.000023
7.617188 0.000023
7.646484 0.000022
7.675781 0.000022
7.705078 0.000022
7.734375 0.000022
7.763672 0.000021
7.792969 0.000021
7.822266 0.000021
7.851562 0.000021
7.880859 0.000020
7.910156 0.000020
7.939453 0.000020
7.968750 0.000020
7.998047 0.000020
8.027344 0.000019
8.056641 0.000019
8.085938 0.000019
8.115234 0.000019
8.144531 0.000018
8.173828 0.000018
8.203125 0.000018
8.232422 0.000018
8.261719 0.000018
8.291016 0.000017
8.320312 0.000017
8.349609 0.000017
8.378906 0.000017
8.408203 0.000017
8.437500 0.000017
8.466797 0.000016
8.496094 0.000016
8.525391 0.000016
8.554688 0.000016
8.583984 0.000016
8.613281 0.000016
8.642578 0.000015
8.671875 0.000015
8.701172 0.000015
8.730469 0.000015
8.759766 0.000015
8.789062 0.000015
8.818359 0.000014
8.847656 0.000014
8.876953 0.000014
8.906250 0.000014
8.935547 0.000014
8.964844 0.000014
8.994141 0.000014
9.023438 0.000013
9.052734 0.000013
9.082031 0.000013
9.111328 0.000013
9.140625 0.000013
9.169922 0.000013
9.199219 0.000013
9.228516 0.000013
9.257812 0.000012
9.287109 0.000012
9.316406 0.000012
9.345703 0.000012
9.375000 0.000012
9.404297 0.000012
9.433594 0.000012
9.462891 0.000012
9.492188 0.000012
9.521484 0.000011
9.550781 0.000011
9.580078 0.000011
9.609375 0.000011
9.638672 0.000011
9.667969 0.000011
9.697266 0.000011
9.726562 0.000011
9.755859 0.000011
9.785156 0.000010
9.814453 0.000010
9.843750 0.000010
9.873047 0.000010
9.902344 0.000010
9.931641 0.000010
9.960938 0.000010
9.990234 0.000010
10.019531 0.000010
10.048828 0.000010
10.078125 0.000010
10.107422 0.000010
10.136719 0.000009
10.166016 0.000009
10.195312 0.000009
10.224609 0.000009
10.253906 0.000009
10.283203 0.000009
10.312500 0.000009
10.341797 0.000009
10.371094 0.000009
10.400391 0.000009
10.429688 0.000009
10.458984 0.000009
10.488281 0.000008
10.517578 0.000008
10.546875 0.000008
10.576172 0.000008
10.605469 0.000008
10.634766 0.000008
10.664062 0.000008
10.693359 0.000008
10.722656 0.000008
10.751953 0.000008
10.781250 0.000008
10.810547 0.000008
10.839844 0.000008
10.869141 0.000008
10.898438 0.000008
10.927734 0.000007
10.957031 0.000007
10.986328 0.000007
11.015625 0.000007
11.044922 0.000007
11.074219 0.000007
11.103516 0.000007
11.132812 0.000007
11.162109 0.000007
11.191406 0.000007
11.220703 0.000007
11.250000 0.000007
11.279297 0.000007
11.308594 0.000007
11.337891 0.000007
11.367188 0.000007
11.396484 0.000007
11.425781 0.000007
11.455078 0.000006
11.484375 0.000006
11.513672 0.000006
11.542969 0.000006
11.572266 0.000006
11.601562 0.000006
11.630859 0.000006
11.660156 0.000006
11.689453 0.000006
11.718750 0.000006
11.748047 0.000006
11.777344 0.000006
11.806641 0.000006
11.835938 0.000006
11.865234 0.000006
11.894531 0.000006
11.923828 0.000006
11.953125 0.000006
11.982422 0.000006
12.011719 0.000006
12.041016 0.000006
12.070312 0.000006
12.099609 0.000005
12.128906 0.000005
12.158203 0.000005
12.187500 0.000005
12.216797 0.000005
12.246094 0.000005
12.275391 0.000005
12.304688 0.000005
12.333984 0.000005
12.363281 0.000005
12.392578 0.000005
12.421875 0.000005
12.451172 0.000005
12.480469 0.000005
12.509766 0.000005
12.539062 0.000005
12.568359 0.000005
12.597656 0.000005
12.626953 0.000005
12.656250 0.000005
12.685547 0.000005
12.714844 0.000005
12.744141 0.000005
12.773438 0.000005
12.802734 0.000005
12.832031 0.000005
12.861328 0.000005
12.890625 0.000005
12.919922 0.000005
12.949219 0.000004
12.978516 0.000004
13.007812 0.000004
13.037109 0.000004
13.066406 0.000004
13.095703 0.000004
13.125000 0.000004
13.154297 0.000004
13.183594 0.000004
13.212891 0.000004
13.242188 0.000004
13.271484 0.000004
13.300781 0.000004
13.330078 0.000004
13.359375 0.000004
13.388672 0.000004
13.417969 0.000004
13.447266 0.000004
13.476562 0.000004
13.505859 0.000004
13.535156 0.000004
13.564453 0.000004
13.593750 0.000004
13.623047 0.000004
13.652344 0.000004
13.681641 0.000004
13.710938 0.000004
13.740234 0.000004
13.769531 0.000004
13.798828 0.000004
13.828125 0.000004
13.857422 0.000004
13.886719 0.000004
13.916016 0.000004
13.945312 0.000004
13.974609 0.000004
14.003906 0.000004
14.033203 0.000004
14.062500 0.000003
14.091797 0.000003
14.121094 0.000003
14.150391 0.000003
14.179688 0.000003
14.208984 0.000003
14.238281 0.000003
14.267578 0.000003
14.296875 0.000003
14.326172 0.000003
14.355469 0.000003
14.384766 0.000003
14.414062 0.000003
14.443359 0.000003
14.472656 0.000003
14.501953 0.000003
14.531250 0.000003
14.560547 0.000003
14.589844 0.000003
14.619141 0.000003
14.648438 0.000003
14.677734 0.000003
14.707031 0.000003
14.736328 0.000003
14.765625 0.000003
14.794922 0.000003
14.824219 0.000003
14.853516 0.000003
14.882812 0.000003
14.912109 0.000003
14.941406 0.000003
14.970703 0.000003
