# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.777250 2.370829 9.233218 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000028
0.025000 0.000117
0.050000 0.000206
0.075000 0.000296
0.100000 0.000387
0.125000 0.000480
0.150000 0.000575
0.175000 0.000672
0.200000 0.000773
0.225000 0.000877
0.250000 0.000985
0.275000 0.001099
0.300000 0.001218
0.325000 0.001343
0.350000 0.001476
0.375000 0.001617
0.400000 0.001767
0.425000 0.001928
0.450000 0.002101
0.475000 0.002288
0.500000 0.002490
0.525000 0.002710
0.550000 0.002951
0.575000 0.003216
0.600000 0.003509
0.625000 0.003833
0.650000 0.004195
0.675000 0.004601
0.700000 0.005059
0.725000 0.005579
0.750000 0.006173
0.775000 0.006857
0.800000 0.007652
0.825000 0.008582
0.850000 0.009682
0.875000 0.010997
0.900000 0.012588
0.925000 0.014539
0.950000 0.016969
0.975000 0.020050
1.000000 0.024032
1.025000 0.029294
1.050000 0.036424
1.075000 0.046348
1.100000 0.060558
1.125000 0.081472
1.150000 0.112972
1.175000 0.160962
1.200000 0.233199
1.225000 0.336202
1.250000 0.466559
1.275000 0.601311
1.300000 0.704910
1.325000 0.752345
1.350000 0.736332
1.375000 0.658747
1.400000 0.534588
1.425000 0.397275
1.450000 0.279479
1.475000 0.193632
1.500000 0.135946
1.525000 0.098061
1.550000 0.072912
1.575000 0.055779
1.600000 0.043749
1.625000 0.035059
1.650000 0.028623
1.675000 0.023754
1.700000 0.020001
1.725000 0.017058
1.750000 0.014716
1.775000 0.012824
1.800000 0.011276
1.825000 0.009994
1.850000 0.008921
1.875000 0.008012
1.900000 0.007237
1.925000 0.006569
1.950000 0.005990
1.975000 0.005485
2.000000 0.005041
2.025000 0.004649
2.050000 0.004301
2.075000 0.003990
2.100000 0.003712
2.125000 0.003461
2.150000 0.003235
2.175000 0.003030
2.200000 0.002844
2.225000 0.002674
2.250000 0.002520
2.275000 0.002378
2.300000 0.002248
2.325000 0.002129
2.350000 0.002020
2.375000 0.001919
2.400000 0.001826
2.425000 0.001739
2.450000 0.001659
2.475000 0.001584
2.500000 0.001513
2.525000 0.001447
2.550000 0.001385
2.575000 0.001326
2.600000 0.001271
2.625000 0.001219
2.650000 0.001170
2.675000 0.001124
2.700000 0.001081
2.725000 0.001040
2.750000 0.001003
2.775000 0.000967
2.800000 0.000934
2.825000 0.000902
2.850000 0.000872
2.875000 0.000844
2.900000 0.000817
2.925000 0.000791
2.950000 0.000766
2.975000 0.000742
3.000000 0.000719
3.025000 0.000698
3.050000 0.000677
3.075000 0.000658
3.100000 0.000639
3.125000 0.000621
3.150000 0.000604
3.175000 0.000588
3.200000 0.000572
3.225000 0.000558
3.250000 0.000544
3.275000 0.000531
3.300000 0.000518
3.325000 0.000506
3.350000 0.000495
3.375000 0.000485
3.400000 0.000475
3.425000 0.000466
3.450000 0.000458
3.475000 0.000451
3.500000 0.000444
3.525000 0.000438
3.550000 0.000434
3.575000 0.000430
3.600000 0.000427
3.625000 0.000425
3.650000 0.000426
3.675000 0.000428
3.700000 0.000434
3.725000 0.000443
3.750000 0.000455
3.775000 0.000472
3.800000 0.000492
3.825000 0.000515
3.850000 0.000541
3.875000 0.000568
3.900000 0.000594
3.925000 0.000617
3.950000 0.000635
3.975000 0.000645
4.000000 0.000647
4.025000 0.000638
4.050000 0.000619
4.075000 0.000592
4.100000 0.000558
4.125000 0.000521
4.150000 0.000481
4.175000 0.000442
4.200000 0.000405
4.225000 0.000372
4.250000 0.000342
4.275000 0.000315
4.300000 0.000293
4.325000 0.000273
4.350000 0.000256
4.375000 0.000242
4.400000 0.000229
4.425000 0.000219
4.450000 0.000209
4.475000 0.000201
4.500000 0.000193
4.525000 0.000186
4.550000 0.000180
4.575000 0.000174
4.600000 0.000169
4.625000 0.000164
4.650000 0.000159
4.675000 0.000155
4.700000 0.000150
4.725000 0.000146
4.750000 0.000142
4.775000 0.000139
4.800000 0.000135
4.825000 0.000132
4.850000 0.000129
4.875000 0.000126
4.900000 0.000122
4.925000 0.000119
4.950000 0.000116
4.975000 0.000114
