# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 200# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.250000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 2.989074 1.392277 2.147189 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000098
0.025000 0.000236
0.050000 0.000369
0.075000 0.000506
0.100000 0.000644
0.125000 0.000784
0.150000 0.000925
0.175000 0.001070
0.200000 0.001218
0.225000 0.001370
0.250000 0.001526
0.275000 0.001686
0.300000 0.001854
0.325000 0.002028
0.350000 0.002210
0.375000 0.002400
0.400000 0.002599
0.425000 0.002810
0.450000 0.003033
0.475000 0.003269
0.500000 0.003522
0.525000 0.003790
0.550000 0.004080
0.575000 0.004391
0.600000 0.004725
0.625000 0.005088
0.650000 0.005481
0.675000 0.005909
0.700000 0.006377
0.725000 0.006887
0.750000 0.007449
0.775000 0.008068
0.800000 0.008750
0.825000 0.009504
0.850000 0.010344
0.875000 0.011274
0.900000 0.012313
0.925000 0.013470
0.950000 0.014766
0.975000 0.016218
1.000000 0.017846
1.025000 0.019670
1.050000 0.021722
1.075000 0.024025
1.100000 0.026607
1.125000 0.029505
1.150000 0.032746
1.175000 0.036359
1.200000 0.040366
1.225000 0.044795
1.250000 0.049652
1.275000 0.054929
1.300000 0.060609
1.325000 0.066654
1.350000 0.072967
1.375000 0.079478
1.400000 0.086062
1.425000 0.092593
1.450000 0.098904
1.475000 0.104875
1.500000 0.110366
1.525000 0.115300
1.550000 0.119572
1.575000 0.123209
1.600000 0.126171
1.625000 0.128522
1.650000 0.130287
1.675000 0.131561
1.700000 0.132404
1.725000 0.132887
1.750000 0.133060
1.775000 0.132978
1.800000 0.132659
1.825000 0.132114
1.850000 0.131342
1.875000 0.130297
1.900000 0.128949
1.925000 0.127228
1.950000 0.125062
1.975000 0.122381
2.000000 0.119107
2.025000 0.115213
2.050000 0.110646
2.075000 0.105443
2.100000 0.099664
2.125000 0.093410
2.150000 0.086828
2.175000 0.080079
2.200000 0.073338
2.225000 0.066747
2.250000 0.060441
2.275000 0.054516
2.300000 0.049038
2.325000 0.044037
2.350000 0.039511
2.375000 0.035463
2.400000 0.031854
2.425000 0.028657
2.450000 0.025825
2.475000 0.023326
2.500000 0.021120
2.525000 0.019170
2.550000 0.017447
2.575000 0.015922
2.600000 0.014566
2.625000 0.013361
2.650000 0.012286
2.675000 0.011324
2.700000 0.010461
2.725000 0.009685
2.750000 0.008987
2.775000 0.008353
2.800000 0.007780
2.825000 0.007258
2.850000 0.006784
2.875000 0.006351
2.900000 0.005957
2.925000 0.005593
2.950000 0.005260
2.975000 0.004953
3.000000 0.004671
3.025000 0.004410
3.050000 0.004169
3.075000 0.003946
3.100000 0.003739
3.125000 0.003547
3.150000 0.003368
3.175000 0.003201
3.200000 0.003046
3.225000 0.002901
3.250000 0.002765
3.275000 0.002638
3.300000 0.002519
3.325000 0.002408
3.350000 0.002303
