# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 4.000000 0.030000 1.000000 0.250000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.060346 0.226720 0.000000 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000000
0.025000 0.000213
0.050000 0.000427
0.075000 0.000644
0.100000 0.000866
0.125000 0.001094
0.150000 0.001331
0.175000 0.001577
0.200000 0.001835
0.225000 0.002108
0.250000 0.002398
0.275000 0.002709
0.300000 0.003043
0.325000 0.003405
0.350000 0.003800
0.375000 0.004233
0.400000 0.004711
0.425000 0.005243
0.450000 0.005837
0.475000 0.006507
0.500000 0.007266
0.525000 0.008134
0.550000 0.009134
0.575000 0.010297
0.600000 0.011661
0.625000 0.013278
0.650000 0.015216
0.675000 0.017569
0.700000 0.020466
0.725000 0.024091
0.750000 0.028712
0.775000 0.034733
0.800000 0.042781
0.825000 0.053878
0.850000 0.069769
0.875000 0.093633
0.900000 0.131728
0.925000 0.197634
0.950000 0.324703
0.975000 0.607362
1.000000 1.324386
1.025000 2.503757
1.050000 1.739421
1.075000 0.779438
1.100000 0.395366
1.125000 0.231523
1.150000 0.150225
1.175000 0.104774
1.200000 0.077003
1.225000 0.058875
1.250000 0.046412
1.275000 0.037491
1.300000 0.030891
1.325000 0.025875
1.350000 0.021974
1.375000 0.018883
1.400000 0.016393
1.425000 0.014357
1.450000 0.012672
1.475000 0.011263
1.500000 0.010072
1.525000 0.009056
1.550000 0.008184
1.575000 0.007428
1.600000 0.006771
1.625000 0.006194
1.650000 0.005687
1.675000 0.005237
1.700000 0.004837
1.725000 0.004480
1.750000 0.004160
1.775000 0.003872
1.800000 0.003612
1.825000 0.003376
1.850000 0.003161
1.875000 0.002966
1.900000 0.002787
1.925000 0.002624
1.950000 0.002474
1.975000 0.002335
2.000000 0.002208
2.025000 0.002090
2.050000 0.001981
2.075000 0.001880
2.100000 0.001786
2.125000 0.001699
2.150000 0.001617
2.175000 0.001541
2.200000 0.001470
2.225000 0.001404
2.250000 0.001341
2.275000 0.001283
2.300000 0.001228
2.325000 0.001176
2.350000 0.001128
2.375000 0.001082
2.400000 0.001038
2.425000 0.000997
2.450000 0.000959
2.475000 0.000922
2.500000 0.000887
2.525000 0.000855
2.550000 0.000823
2.575000 0.000794
2.600000 0.000766
2.625000 0.000739
2.650000 0.000714
2.675000 0.000689
2.700000 0.000666
2.725000 0.000645
2.750000 0.000624
2.775000 0.000604
2.800000 0.000585
2.825000 0.000567
2.850000 0.000550
2.875000 0.000534
2.900000 0.000519
2.925000 0.000505
2.950000 0.000492
2.975000 0.000480
3.000000 0.000470
3.025000 0.000461
3.050000 0.000452
3.075000 0.000443
3.100000 0.000431
3.125000 0.000416
3.150000 0.000400
3.175000 0.000386
3.200000 0.000373
3.225000 0.000361
3.250000 0.000350
3.275000 0.000340
3.300000 0.000330
3.325000 0.000321
3.350000 0.000312
3.375000 0.000304
3.400000 0.000296
3.425000 0.000289
3.450000 0.000282
3.475000 0.000275
3.500000 0.000268
3.525000 0.000262
3.550000 0.000255
3.575000 0.000249
3.600000 0.000243
3.625000 0.000238
3.650000 0.000232
3.675000 0.000227
3.700000 0.000222
3.725000 0.000217
3.750000 0.000212
3.775000 0.000208
3.800000 0.000203
3.825000 0.000199
3.850000 0.000194
3.875000 0.000190
3.900000 0.000186
3.925000 0.000182
3.950000 0.000179
3.975000 0.000175
4.000000 0.000171
4.025000 0.000168
4.050000 0.000164
4.075000 0.000161
4.100000 0.000158
4.125000 0.000155
4.150000 0.000152
4.175000 0.000149
4.200000 0.000146
4.225000 0.000143
4.250000 0.000140
4.275000 0.000138
4.300000 0.000135
4.325000 0.000133
4.350000 0.000130
4.375000 0.000128
4.400000 0.000126
4.425000 0.000123
4.450000 0.000121
4.475000 0.000119
4.500000 0.000117
4.525000 0.000115
4.550000 0.000113
4.575000 0.000111
4.600000 0.000109
4.625000 0.000107
4.650000 0.000105
4.675000 0.000103
4.700000 0.000102
4.725000 0.000100
4.750000 0.000098
4.775000 0.000096
4.800000 0.000095
4.825000 0.000093
4.850000 0.000092
4.875000 0.000090
4.900000 0.000089
4.925000 0.000087
4.950000 0.000086
4.975000 0.000085
