# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 4.000000 0.030000 1.000000 0.500000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.115882 0.421535 0.000000 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000001
0.025000 0.000193
0.050000 0.000387
0.075000 0.000583
0.100000 0.000783
0.125000 0.000988
0.150000 0.001201
0.175000 0.001422
0.200000 0.001653
0.225000 0.001897
0.250000 0.002155
0.275000 0.002431
0.300000 0.002726
0.325000 0.003045
0.350000 0.003392
0.375000 0.003770
0.400000 0.004186
0.425000 0.004645
0.450000 0.005157
0.475000 0.005729
0.500000 0.006374
0.525000 0.007107
0.550000 0.007944
0.575000 0.008910
0.600000 0.010032
0.625000 0.011349
0.650000 0.012910
0.675000 0.014781
0.700000 0.017052
0.725000 0.019848
0.750000 0.023345
0.775000 0.027801
0.800000 0.033603
0.825000 0.041355
0.850000 0.052034
0.875000 0.067312
0.900000 0.090225
0.925000 0.126729
0.950000 0.189675
0.975000 0.310290
1.000000 0.575395
1.025000 1.235648
1.050000 2.364374
1.075000 1.765028
1.100000 0.805052
1.125000 0.405898
1.150000 0.235652
1.175000 0.151782
1.200000 0.105256
1.225000 0.077017
1.250000 0.058693
1.275000 0.046147
1.300000 0.037204
1.325000 0.030605
1.350000 0.025603
1.375000 0.021721
1.400000 0.018650
1.425000 0.016179
1.450000 0.014161
1.475000 0.012494
1.500000 0.011099
1.525000 0.009922
1.550000 0.008919
1.575000 0.008058
1.600000 0.007313
1.625000 0.006664
1.650000 0.006096
1.675000 0.005596
1.700000 0.005153
1.725000 0.004760
1.750000 0.004408
1.775000 0.004093
1.800000 0.003809
1.825000 0.003553
1.850000 0.003321
1.875000 0.003110
1.900000 0.002918
1.925000 0.002743
1.950000 0.002582
1.975000 0.002435
2.000000 0.002299
2.025000 0.002173
2.050000 0.002057
2.075000 0.001950
2.100000 0.001850
2.125000 0.001758
2.150000 0.001672
2.175000 0.001593
2.200000 0.001518
2.225000 0.001449
2.250000 0.001383
2.275000 0.001322
2.300000 0.001265
2.325000 0.001211
2.350000 0.001160
2.375000 0.001112
2.400000 0.001067
2.425000 0.001025
2.450000 0.000985
2.475000 0.000947
2.500000 0.000911
2.525000 0.000877
2.550000 0.000845
2.575000 0.000814
2.600000 0.000785
2.625000 0.000757
2.650000 0.000731
2.675000 0.000707
2.700000 0.000683
2.725000 0.000661
2.750000 0.000639
2.775000 0.000619
2.800000 0.000600
2.825000 0.000582
2.850000 0.000564
2.875000 0.000548
2.900000 0.000533
2.925000 0.000519
2.950000 0.000506
2.975000 0.000494
3.000000 0.000484
3.025000 0.000476
3.050000 0.000470
3.075000 0.000467
3.100000 0.000466
3.125000 0.000468
3.150000 0.000466
3.175000 0.000457
3.200000 0.000437
3.225000 0.000413
3.250000 0.000392
3.275000 0.000372
3.300000 0.000356
3.325000 0.000343
3.350000 0.000330
3.375000 0.000319
3.400000 0.000310
3.425000 0.000300
3.450000 0.000292
3.475000 0.000284
3.500000 0.000276
3.525000 0.000269
3.550000 0.000262
3.575000 0.000256
3.600000 0.000249
3.625000 0.000243
3.650000 0.000237
3.675000 0.000232
3.700000 0.000226
3.725000 0.000221
3.750000 0.000216
3.775000 0.000211
3.800000 0.000207
3.825000 0.000202
3.850000 0.000197
3.875000 0.000193
3.900000 0.000189
3.925000 0.000185
3.950000 0.000181
3.975000 0.000177
4.000000 0.000173
4.025000 0.000170
4.050000 0.000166
4.075000 0.000163
4.100000 0.000160
4.125000 0.000157
4.150000 0.000153
4.175000 0.000150
4.200000 0.000147
4.225000 0.000145
4.250000 0.000142
4.275000 0.000139
4.300000 0.000136
4.325000 0.000134
4.350000 0.000131
4.375000 0.000129
4.400000 0.000127
4.425000 0.000124
4.450000 0.000122
4.475000 0.000120
4.500000 0.000118
4.525000 0.000116
4.550000 0.000114
4.575000 0.000112
4.600000 0.000110
4.625000 0.000108
4.650000 0.000106
4.675000 0.000104
4.700000 0.000102
4.725000 0.000100
4.750000 0.000099
4.775000 0.000097
4.800000 0.000096
4.825000 0.000094
4.850000 0.000092
4.875000 0.000091
4.900000 0.000089
4.925000 0.000088
4.950000 0.000087
4.975000 0.000085
