# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.500000 0.030000 1.000000 0.250000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.194745 0.177973 0.066089 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000032
0.025000 0.000211
0.050000 0.000392
0.075000 0.000574
0.100000 0.000761
0.125000 0.000952
0.150000 0.001150
0.175000 0.001355
0.200000 0.001570
0.225000 0.001797
0.250000 0.002036
0.275000 0.002291
0.300000 0.002565
0.325000 0.002859
0.350000 0.003179
0.375000 0.003527
0.400000 0.003908
0.425000 0.004329
0.450000 0.004797
0.475000 0.005319
0.500000 0.005907
0.525000 0.006572
0.550000 0.007332
0.575000 0.008206
0.600000 0.009220
0.625000 0.010409
0.650000 0.011815
0.675000 0.013499
0.700000 0.015541
0.725000 0.018052
0.750000 0.021193
0.775000 0.025195
0.800000 0.030406
0.825000 0.037364
0.850000 0.046933
0.875000 0.060544
0.900000 0.080667
0.925000 0.111703
0.950000 0.161658
0.975000 0.244953
1.000000 0.385359
1.025000 0.611207
1.050000 0.919931
1.075000 1.208172
1.100000 1.290324
1.125000 1.096356
1.150000 0.771700
1.175000 0.491190
1.200000 0.307472
1.225000 0.198523
1.250000 0.134344
1.275000 0.095257
1.300000 0.070356
1.325000 0.053778
1.350000 0.042302
1.375000 0.034085
1.400000 0.028026
1.425000 0.023443
1.450000 0.019897
1.475000 0.017099
1.500000 0.014852
1.525000 0.013019
1.550000 0.011505
1.575000 0.010239
1.600000 0.009169
1.625000 0.008257
1.650000 0.007473
1.675000 0.006793
1.700000 0.006201
1.725000 0.005681
1.750000 0.005223
1.775000 0.004817
1.800000 0.004455
1.825000 0.004131
1.850000 0.003840
1.875000 0.003579
1.900000 0.003342
1.925000 0.003127
1.950000 0.002931
1.975000 0.002753
2.000000 0.002590
2.025000 0.002440
2.050000 0.002302
2.075000 0.002175
2.100000 0.002058
2.125000 0.001949
2.150000 0.001848
2.175000 0.001754
2.200000 0.001667
2.225000 0.001587
2.250000 0.001512
2.275000 0.001443
2.300000 0.001378
2.325000 0.001317
2.350000 0.001260
2.375000 0.001206
2.400000 0.001155
2.425000 0.001107
2.450000 0.001062
2.475000 0.001020
2.500000 0.000980
2.525000 0.000942
2.550000 0.000906
2.575000 0.000872
2.600000 0.000840
2.625000 0.000810
2.650000 0.000781
2.675000 0.000754
2.700000 0.000728
2.725000 0.000703
2.750000 0.000680
2.775000 0.000658
2.800000 0.000637
2.825000 0.000617
2.850000 0.000598
2.875000 0.000580
2.900000 0.000563
2.925000 0.000548
2.950000 0.000533
2.975000 0.000519
3.000000 0.000507
3.025000 0.000496
3.050000 0.000486
3.075000 0.000478
3.100000 0.000471
3.125000 0.000466
3.150000 0.000463
3.175000 0.000461
3.200000 0.000459
3.225000 0.000456
3.250000 0.000452
3.275000 0.000444
3.300000 0.000432
3.325000 0.000417
3.350000 0.000399
3.375000 0.000380
3.400000 0.000362
3.425000 0.000345
3.450000 0.000329
3.475000 0.000315
3.500000 0.000303
3.525000 0.000291
3.550000 0.000282
3.575000 0.000273
3.600000 0.000264
3.625000 0.000257
3.650000 0.000250
3.675000 0.000243
3.700000 0.000237
3.725000 0.000231
3.750000 0.000225
3.775000 0.000219
3.800000 0.000214
3.825000 0.000209
3.850000 0.000204
3.875000 0.000199
3.900000 0.000195
3.925000 0.000190
3.950000 0.000186
3.975000 0.000182
4.000000 0.000178
4.025000 0.000174
4.050000 0.000171
4.075000 0.000167
4.100000 0.000163
4.125000 0.000160
4.150000 0.000157
4.175000 0.000154
4.200000 0.000151
4.225000 0.000148
4.250000 0.000145
4.275000 0.000142
4.300000 0.000139
4.325000 0.000136
4.350000 0.000134
4.375000 0.000131
4.400000 0.000129
4.425000 0.000126
4.450000 0.000124
4.475000 0.000122
4.500000 0.000119
4.525000 0.000117
4.550000 0.000115
4.575000 0.000113
4.600000 0.000111
4.625000 0.000109
4.650000 0.000107
4.675000 0.000105
4.700000 0.000104
4.725000 0.000102
4.750000 0.000100
4.775000 0.000098
4.800000 0.000097
4.825000 0.000095
4.850000 0.000093
4.875000 0.000092
4.900000 0.000090
4.925000 0.000089
4.950000 0.000087
4.975000 0.000086
