# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 4.000000 0.030000 1.000000 1.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.216820 0.743308 0.000000 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000003
0.025000 0.000165
0.050000 0.000328
0.075000 0.000492
0.100000 0.000660
0.125000 0.000833
0.150000 0.001010
0.175000 0.001194
0.200000 0.001386
0.225000 0.001588
0.250000 0.001800
0.275000 0.002026
0.300000 0.002267
0.325000 0.002525
0.350000 0.002804
0.375000 0.003106
0.400000 0.003435
0.425000 0.003797
0.450000 0.004196
0.475000 0.004638
0.500000 0.005131
0.525000 0.005686
0.550000 0.006312
0.575000 0.007025
0.600000 0.007843
0.625000 0.008787
0.650000 0.009888
0.675000 0.011183
0.700000 0.012722
0.725000 0.014572
0.750000 0.016824
0.775000 0.019606
0.800000 0.023099
0.825000 0.027571
0.850000 0.033424
0.875000 0.041291
0.900000 0.052211
0.925000 0.067979
0.950000 0.091900
0.975000 0.130551
1.000000 0.198345
1.025000 0.330682
1.050000 0.625043
1.075000 1.332295
1.100000 2.247044
1.125000 1.512627
1.150000 0.709889
1.175000 0.367897
1.200000 0.216756
1.225000 0.140740
1.250000 0.098093
1.275000 0.072020
1.300000 0.055035
1.325000 0.043364
1.350000 0.035027
1.375000 0.028861
1.400000 0.024179
1.425000 0.020540
1.450000 0.017657
1.475000 0.015335
1.500000 0.013436
1.525000 0.011865
1.550000 0.010551
1.575000 0.009439
1.600000 0.008492
1.625000 0.007678
1.650000 0.006973
1.675000 0.006359
1.700000 0.005821
1.725000 0.005347
1.750000 0.004927
1.775000 0.004554
1.800000 0.004220
1.825000 0.003921
1.850000 0.003651
1.875000 0.003408
1.900000 0.003187
1.925000 0.002987
1.950000 0.002804
1.975000 0.002637
2.000000 0.002484
2.025000 0.002343
2.050000 0.002214
2.075000 0.002095
2.100000 0.001984
2.125000 0.001882
2.150000 0.001786
2.175000 0.001698
2.200000 0.001615
2.225000 0.001538
2.250000 0.001468
2.275000 0.001401
2.300000 0.001340
2.325000 0.001281
2.350000 0.001227
2.375000 0.001175
2.400000 0.001127
2.425000 0.001081
2.450000 0.001038
2.475000 0.000997
2.500000 0.000959
2.525000 0.000923
2.550000 0.000888
2.575000 0.000856
2.600000 0.000825
2.625000 0.000796
2.650000 0.000768
2.675000 0.000742
2.700000 0.000717
2.725000 0.000693
2.750000 0.000670
2.775000 0.000649
2.800000 0.000629
2.825000 0.000609
2.850000 0.000591
2.875000 0.000574
2.900000 0.000558
2.925000 0.000543
2.950000 0.000529
2.975000 0.000515
3.000000 0.000503
3.025000 0.000492
3.050000 0.000482
3.075000 0.000474
3.100000 0.000468
3.125000 0.000464
3.150000 0.000463
3.175000 0.000466
3.200000 0.000474
3.225000 0.000489
3.250000 0.000509
3.275000 0.000528
3.300000 0.000534
3.325000 0.000519
3.350000 0.000485
3.375000 0.000444
3.400000 0.000410
3.425000 0.000379
3.450000 0.000355
3.475000 0.000337
3.500000 0.000321
3.525000 0.000306
3.550000 0.000296
3.575000 0.000285
3.600000 0.000275
3.625000 0.000267
3.650000 0.000259
3.675000 0.000251
3.700000 0.000244
3.725000 0.000238
3.750000 0.000232
3.775000 0.000226
3.800000 0.000220
3.825000 0.000214
3.850000 0.000209
3.875000 0.000204
3.900000 0.000199
3.925000 0.000194
3.950000 0.000190
3.975000 0.000185
4.000000 0.000181
4.025000 0.000177
4.050000 0.000173
4.075000 0.000170
4.100000 0.000166
4.125000 0.000162
4.150000 0.000159
4.175000 0.000156
4.200000 0.000152
4.225000 0.000149
4.250000 0.000146
4.275000 0.000143
4.300000 0.000141
4.325000 0.000138
4.350000 0.000135
4.375000 0.000132
4.400000 0.000130
4.425000 0.000127
4.450000 0.000125
4.475000 0.000123
4.500000 0.000120
4.525000 0.000118
4.550000 0.000116
4.575000 0.000114
4.600000 0.000112
4.625000 0.000110
4.650000 0.000108
4.675000 0.000106
4.700000 0.000104
4.725000 0.000102
4.750000 0.000101
4.775000 0.000099
4.800000 0.000097
4.825000 0.000096
4.850000 0.000094
4.875000 0.000092
4.900000 0.000091
4.925000 0.000089
4.950000 0.000088
4.975000 0.000086
