# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 1.000000 0.030000 1.000000 1.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.362415 0.629955 0.833391 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000046
0.025000 0.000198
0.050000 0.000351
0.075000 0.000506
0.100000 0.000663
0.125000 0.000824
0.150000 0.000990
0.175000 0.001163
0.200000 0.001342
0.225000 0.001530
0.250000 0.001728
0.275000 0.001938
0.300000 0.002162
0.325000 0.002401
0.350000 0.002658
0.375000 0.002937
0.400000 0.003240
0.425000 0.003572
0.450000 0.003937
0.475000 0.004340
0.500000 0.004790
0.525000 0.005293
0.550000 0.005861
0.575000 0.006505
0.600000 0.007243
0.625000 0.008093
0.650000 0.009083
0.675000 0.010245
0.700000 0.011624
0.725000 0.013280
0.750000 0.015295
0.775000 0.017781
0.800000 0.020899
0.825000 0.024883
0.850000 0.030080
0.875000 0.037018
0.900000 0.046517
0.925000 0.059882
0.950000 0.079212
0.975000 0.107885
1.000000 0.151210
1.025000 0.216871
1.050000 0.313831
1.075000 0.446709
1.100000 0.604360
1.125000 0.753442
1.150000 0.853952
1.175000 0.881410
1.200000 0.828150
1.225000 0.702441
1.250000 0.538405
1.275000 0.382907
1.300000 0.263449
1.325000 0.181735
1.350000 0.128284
1.375000 0.093352
1.400000 0.070037
1.425000 0.054016
1.450000 0.042674
1.475000 0.034424
1.500000 0.028278
1.525000 0.023604
1.550000 0.019980
1.575000 0.017123
1.600000 0.014834
1.625000 0.012975
1.650000 0.011445
1.675000 0.010170
1.700000 0.009097
1.725000 0.008185
1.750000 0.007402
1.775000 0.006726
1.800000 0.006137
1.825000 0.005622
1.850000 0.005168
1.875000 0.004766
1.900000 0.004408
1.925000 0.004088
1.950000 0.003801
1.975000 0.003542
2.000000 0.003308
2.025000 0.003096
2.050000 0.002904
2.075000 0.002728
2.100000 0.002567
2.125000 0.002419
2.150000 0.002283
2.175000 0.002158
2.200000 0.002042
2.225000 0.001934
2.250000 0.001835
2.275000 0.001742
2.300000 0.001656
2.325000 0.001575
2.350000 0.001501
2.375000 0.001431
2.400000 0.001367
2.425000 0.001306
2.450000 0.001250
2.475000 0.001197
2.500000 0.001148
2.525000 0.001101
2.550000 0.001057
2.575000 0.001016
2.600000 0.000976
2.625000 0.000939
2.650000 0.000904
2.675000 0.000871
2.700000 0.000839
2.725000 0.000810
2.750000 0.000781
2.775000 0.000754
2.800000 0.000729
2.825000 0.000705
2.850000 0.000682
2.875000 0.000661
2.900000 0.000640
2.925000 0.000621
2.950000 0.000603
2.975000 0.000585
3.000000 0.000569
3.025000 0.000554
3.050000 0.000540
3.075000 0.000527
3.100000 0.000515
3.125000 0.000504
3.150000 0.000495
3.175000 0.000487
3.200000 0.000480
3.225000 0.000475
3.250000 0.000472
3.275000 0.000470
3.300000 0.000470
3.325000 0.000472
3.350000 0.000475
3.375000 0.000479
3.400000 0.000483
3.425000 0.000486
3.450000 0.000487
3.475000 0.000485
3.500000 0.000480
3.525000 0.000470
3.550000 0.000456
3.575000 0.000439
3.600000 0.000419
3.625000 0.000398
3.650000 0.000376
3.675000 0.000355
3.700000 0.000334
3.725000 0.000315
3.750000 0.000298
3.775000 0.000283
3.800000 0.000270
3.825000 0.000258
3.850000 0.000247
3.875000 0.000237
3.900000 0.000229
3.925000 0.000221
3.950000 0.000214
3.975000 0.000208
4.000000 0.000202
4.025000 0.000197
4.050000 0.000191
4.075000 0.000187
4.100000 0.000182
4.125000 0.000177
4.150000 0.000173
4.175000 0.000169
4.200000 0.000165
4.225000 0.000161
4.250000 0.000158
4.275000 0.000154
4.300000 0.000151
4.325000 0.000147
4.350000 0.000144
4.375000 0.000141
4.400000 0.000138
4.425000 0.000135
4.450000 0.000132
4.475000 0.000130
4.500000 0.000127
4.525000 0.000125
4.550000 0.000122
4.575000 0.000120
4.600000 0.000117
4.625000 0.000115
4.650000 0.000113
4.675000 0.000111
4.700000 0.000109
4.725000 0.000107
4.750000 0.000105
4.775000 0.000103
4.800000 0.000101
4.825000 0.000099
4.850000 0.000097
4.875000 0.000096
4.900000 0.000094
4.925000 0.000092
4.950000 0.000091
4.975000 0.000089
