# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 2.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.452508 1.304833 3.209691 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000026
0.025000 0.000150
0.050000 0.000274
0.075000 0.000399
0.100000 0.000527
0.125000 0.000657
0.150000 0.000791
0.175000 0.000930
0.200000 0.001073
0.225000 0.001223
0.250000 0.001380
0.275000 0.001546
0.300000 0.001721
0.325000 0.001908
0.350000 0.002107
0.375000 0.002321
0.400000 0.002552
0.425000 0.002803
0.450000 0.003076
0.475000 0.003376
0.500000 0.003706
0.525000 0.004071
0.550000 0.004478
0.575000 0.004933
0.600000 0.005446
0.625000 0.006029
0.650000 0.006694
0.675000 0.007460
0.700000 0.008349
0.725000 0.009391
0.750000 0.010622
0.775000 0.012096
0.800000 0.013880
0.825000 0.016072
0.850000 0.018807
0.875000 0.022283
0.900000 0.026796
0.925000 0.032799
0.950000 0.041013
0.975000 0.052621
1.000000 0.069633
1.025000 0.095558
1.050000 0.136607
1.075000 0.203556
1.100000 0.313309
1.125000 0.484697
1.150000 0.715555
1.175000 0.944523
1.200000 1.063931
1.225000 1.007426
1.250000 0.805930
1.275000 0.563612
1.300000 0.367729
1.325000 0.238321
1.350000 0.159073
1.375000 0.110686
1.400000 0.080234
1.425000 0.060279
1.450000 0.046679
1.475000 0.037084
1.500000 0.030109
1.525000 0.024907
1.550000 0.020937
1.575000 0.017845
1.600000 0.015391
1.625000 0.013413
1.650000 0.011794
1.675000 0.010452
1.700000 0.009327
1.725000 0.008374
1.750000 0.007559
1.775000 0.006857
1.800000 0.006247
1.825000 0.005715
1.850000 0.005247
1.875000 0.004833
1.900000 0.004466
1.925000 0.004139
1.950000 0.003845
1.975000 0.003582
2.000000 0.003344
2.025000 0.003128
2.050000 0.002932
2.075000 0.002754
2.100000 0.002591
2.125000 0.002442
2.150000 0.002305
2.175000 0.002179
2.200000 0.002062
2.225000 0.001955
2.250000 0.001855
2.275000 0.001762
2.300000 0.001675
2.325000 0.001594
2.350000 0.001519
2.375000 0.001448
2.400000 0.001382
2.425000 0.001320
2.450000 0.001263
2.475000 0.001210
2.500000 0.001160
2.525000 0.001114
2.550000 0.001070
2.575000 0.001029
2.600000 0.000990
2.625000 0.000954
2.650000 0.000919
2.675000 0.000886
2.700000 0.000855
2.725000 0.000825
2.750000 0.000797
2.775000 0.000770
2.800000 0.000745
2.825000 0.000720
2.850000 0.000698
2.875000 0.000676
2.900000 0.000655
2.925000 0.000635
2.950000 0.000616
2.975000 0.000599
3.000000 0.000582
3.025000 0.000566
3.050000 0.000551
3.075000 0.000537
3.100000 0.000524
3.125000 0.000511
3.150000 0.000500
3.175000 0.000489
3.200000 0.000480
3.225000 0.000472
3.250000 0.000465
3.275000 0.000459
3.300000 0.000456
3.325000 0.000454
3.350000 0.000454
3.375000 0.000458
3.400000 0.000465
3.425000 0.000475
3.450000 0.000489
3.475000 0.000507
3.500000 0.000528
3.525000 0.000549
3.550000 0.000568
3.575000 0.000582
3.600000 0.000587
3.625000 0.000582
3.650000 0.000565
3.675000 0.000538
3.700000 0.000504
3.725000 0.000467
3.750000 0.000429
3.775000 0.000394
3.800000 0.000362
3.825000 0.000335
3.850000 0.000312
3.875000 0.000292
3.900000 0.000276
3.925000 0.000262
3.950000 0.000250
3.975000 0.000239
4.000000 0.000230
4.025000 0.000222
4.050000 0.000215
4.075000 0.000208
4.100000 0.000202
4.125000 0.000196
4.150000 0.000190
4.175000 0.000185
4.200000 0.000180
4.225000 0.000176
4.250000 0.000171
4.275000 0.000167
4.300000 0.000163
4.325000 0.000159
4.350000 0.000155
4.375000 0.000151
4.400000 0.000148
4.425000 0.000144
4.450000 0.000141
4.475000 0.000138
4.500000 0.000135
4.525000 0.000132
4.550000 0.000129
4.575000 0.000126
4.600000 0.000124
4.625000 0.000121
4.650000 0.000119
4.675000 0.000116
4.700000 0.000114
4.725000 0.000112
4.750000 0.000110
4.775000 0.000108
4.800000 0.000105
4.825000 0.000103
4.850000 0.000102
4.875000 0.000100
4.900000 0.000098
4.925000 0.000096
4.950000 0.000094
4.975000 0.000092
