# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.500000 0.030000 1.000000 1.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.561968 0.539767 0.578550 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000072
0.025000 0.000226
0.050000 0.000381
0.075000 0.000538
0.100000 0.000697
0.125000 0.000859
0.150000 0.001026
0.175000 0.001198
0.200000 0.001377
0.225000 0.001565
0.250000 0.001762
0.275000 0.001970
0.300000 0.002190
0.325000 0.002426
0.350000 0.002678
0.375000 0.002950
0.400000 0.003245
0.425000 0.003565
0.450000 0.003916
0.475000 0.004302
0.500000 0.004729
0.525000 0.005204
0.550000 0.005737
0.575000 0.006336
0.600000 0.007017
0.625000 0.007794
0.650000 0.008690
0.675000 0.009729
0.700000 0.010946
0.725000 0.012384
0.750000 0.014102
0.775000 0.016176
0.800000 0.018709
0.825000 0.021841
0.850000 0.025764
0.875000 0.030746
0.900000 0.037158
0.925000 0.045519
0.950000 0.056553
0.975000 0.071255
1.000000 0.090950
1.025000 0.117302
1.050000 0.152164
1.075000 0.197088
1.100000 0.252354
1.125000 0.315672
1.150000 0.381462
1.175000 0.442005
1.200000 0.490392
1.225000 0.522917
1.250000 0.538834
1.275000 0.538187
1.300000 0.520101
1.325000 0.483258
1.350000 0.428566
1.375000 0.361653
1.400000 0.291894
1.425000 0.228151
1.450000 0.175353
1.475000 0.134335
1.500000 0.103568
1.525000 0.080809
1.550000 0.063969
1.575000 0.051401
1.600000 0.041900
1.625000 0.034615
1.650000 0.028948
1.675000 0.024480
1.700000 0.020913
1.725000 0.018034
1.750000 0.015686
1.775000 0.013751
1.800000 0.012143
1.825000 0.010794
1.850000 0.009654
1.875000 0.008682
1.900000 0.007848
1.925000 0.007127
1.950000 0.006500
1.975000 0.005951
2.000000 0.005467
2.025000 0.005040
2.050000 0.004659
2.075000 0.004320
2.100000 0.004015
2.125000 0.003741
2.150000 0.003493
2.175000 0.003268
2.200000 0.003064
2.225000 0.002877
2.250000 0.002706
2.275000 0.002550
2.300000 0.002406
2.325000 0.002273
2.350000 0.002150
2.375000 0.002036
2.400000 0.001930
2.425000 0.001832
2.450000 0.001741
2.475000 0.001656
2.500000 0.001577
2.525000 0.001503
2.550000 0.001434
2.575000 0.001370
2.600000 0.001309
2.625000 0.001253
2.650000 0.001200
2.675000 0.001151
2.700000 0.001105
2.725000 0.001061
2.750000 0.001020
2.775000 0.000981
2.800000 0.000944
2.825000 0.000909
2.850000 0.000876
2.875000 0.000845
2.900000 0.000815
2.925000 0.000787
2.950000 0.000761
2.975000 0.000736
3.000000 0.000712
3.025000 0.000690
3.050000 0.000668
3.075000 0.000648
3.100000 0.000629
3.125000 0.000612
3.150000 0.000595
3.175000 0.000580
3.200000 0.000565
3.225000 0.000552
3.250000 0.000539
3.275000 0.000528
3.300000 0.000518
3.325000 0.000509
3.350000 0.000501
3.375000 0.000494
3.400000 0.000489
3.425000 0.000484
3.450000 0.000480
3.475000 0.000478
3.500000 0.000476
3.525000 0.000474
3.550000 0.000474
3.575000 0.000473
3.600000 0.000473
3.625000 0.000472
3.650000 0.000470
3.675000 0.000468
3.700000 0.000464
3.725000 0.000459
3.750000 0.000452
3.775000 0.000444
3.800000 0.000434
3.825000 0.000423
3.850000 0.000410
3.875000 0.000396
3.900000 0.000381
3.925000 0.000365
3.950000 0.000349
3.975000 0.000332
4.000000 0.000316
4.025000 0.000301
4.050000 0.000286
4.075000 0.000271
4.100000 0.000258
4.125000 0.000246
4.150000 0.000234
4.175000 0.000224
4.200000 0.000215
4.225000 0.000206
4.250000 0.000198
4.275000 0.000191
4.300000 0.000185
4.325000 0.000178
4.350000 0.000173
4.375000 0.000168
4.400000 0.000163
4.425000 0.000158
4.450000 0.000154
4.475000 0.000150
4.500000 0.000146
4.525000 0.000142
4.550000 0.000139
4.575000 0.000136
4.600000 0.000132
4.625000 0.000129
4.650000 0.000126
4.675000 0.000124
4.700000 0.000121
4.725000 0.000118
4.750000 0.000116
4.775000 0.000113
4.800000 0.000111
4.825000 0.000109
4.850000 0.000106
4.875000 0.000104
4.900000 0.000102
4.925000 0.000100
4.950000 0.000098
4.975000 0.000096
